org_inv_dk,rearer_dk,rearer_pop_dk,org_category,start_dt,end_dt,class_result_nm,org_test_result_nm
e03d3f1b-010a-1000-e004-05a2c0a802deCCE7AED4,,,种猪场,2023-06-30,2023-08-27,高繁感染,D阳
Kv/utwEREADgAI9NfwAAAcznrtQ=,,,种猪场,2023-08-21,2023-10-21,高繁感染,D阳
bDoAAExQ2YfM567U,,,种猪场,2023-10-22,2023-11-29,高繁感染,"ABE型,B阳"
bDoAAEGDj37M567U,,,种猪场,2024-03-01,2024-03-30,高繁感染,ABE型
FQ7IoQEgEADgEzmmCgsFAsznrtQ=,,,种猪场,2024-02-27,2024-04-05,高繁感染,"A阳（单缺）+B阳,A阳（单缺）"
ciJ9gUr9R2qmB22v2j2nScznrtQ=,,,种猪场,2024-04-25,2024-05-18,高繁感染,A阳（单缺）
bDoAAHz3F9vM567U,,,种猪场,2022-12-15,2023-01-30,高繁感染,A阳（双缺）
bDoAAEFoW0TM567U,,,种猪场,2023-02-06,2023-03-24,高繁感染,B阳
bDoAALNCjoXM567U,,,种猪场,2023-06-14,2023-07-22,高繁感染,B阳
bDoAANlw/arM567U,,,种猪场,2023-11-25,2023-12-12,高繁感染,ABE型
0BeRd35bQGC3COm2GJdEIsznrtQ=,,,种猪场,2023-11-08,2024-01-12,高繁感染,B阳
e03d3f1b-010a-1000-e005-d367c0a802deCCE7AED4,,,种猪场,2022-09-08,2022-12-03,高繁感染,"A阳（双缺）,B阳"
bDoAALNCj8XM567U,,,种猪场,2022-12-04,2023-02-27,高繁感染,"A阳（双缺）,B阳"
bDoAADC02cbM567U,,,种猪场,2023-02-28,2023-03-30,高繁感染,B阳
bDoAAKRCqU7M567U,,,种猪场,2023-03-21,2023-04-18,高繁感染,B阳
bDoAAKH91k7M567U,,,种猪场,2023-05-30,2023-06-24,高繁感染,A阳（双缺）
bDoAAB9RQabM567U,,,种猪场,2023-06-17,2023-07-09,高繁感染,D阳
bDoAAEhiQtHM567U,,,种猪场,2024-12-24,2024-12-30,高繁感染,A阳（双缺）
bDoAALEl03fM567U,,,种猪场,2022-04-29,2022-06-02,高繁感染,B阳
Kv/utwEREADgAI9NfwAAAcznrtQ=,,,种猪场,2023-01-03,2023-01-26,高繁感染,"B阳,D阳+B阳"
oAWg/NyKRVu4Li5Pp+7fDcznrtQ=,,,种猪场,2023-01-10,2023-03-20,高繁感染,"B阳,A阳（单缺）"
bDoAAELPLgPM567U,,,种猪场,2022-10-11,2022-12-12,高繁感染,B阳
bDoAAKzgg83M567U,,,种猪场,2022-11-18,2022-12-16,高繁感染,B阳
bDoAAEGDj37M567U,,,种猪场,2022-12-09,2023-01-05,高繁感染,A阳（双缺）
bDoAALEl03fM567U,,,种猪场,2023-09-19,2023-10-10,高繁感染,ABE型
Dj9DCQEdEADgAufnCgsFAcznrtQ=,,,种猪场,2023-02-04,2023-03-05,高繁感染,"B阳,A阳（单缺）+B阳"
bDoAAKfMquXM567U,,,种猪场,2023-02-16,2023-04-24,高繁感染,A阳（双缺）
bDoAACbHyrfM567U,,,种猪场,2023-08-29,2023-10-27,高繁感染,ABE型
e03d3f1b-010a-1000-e005-d367c0a802deCCE7AED4,,,种猪场,2023-11-03,2023-11-24,高繁感染,B阳
bDoAAD/EIvrM567U,,,种猪场,2023-12-18,2024-01-19,高繁感染,ABE型
bDoAABWr3ivM567U,,,种猪场,2023-11-30,2024-02-08,高繁感染,ABE型
bDoAAAg6uQPM567U,,,种猪场,2024-12-09,2024-12-30,高繁感染,ABE型
bDoAABcQtDXM567U,,,种猪场,2022-03-09,2022-04-09,高繁感染,阴
fwQkjQHjRU+OKZeA9QsfKMznrtQ=,,,种猪场,2022-04-24,2022-05-31,高繁感染,D阳+B阳
bDoAAAlC9N/M567U,,,种猪场,2023-07-11,2023-08-12,高繁感染,B阳
OxabekMkQHKRMWn1AUn11sznrtQ=,,,种猪场,2023-12-20,2024-01-07,高繁感染,A阳（双缺）
